Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
sdks,org.apache.beam.sdk.coders,AvroCoderTestPojo,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: text
sdks,org.apache.beam.sdk.coders,BigDecimalCoderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: thrown; TEST_CODER; TEST_VALUES; TEST_ENCODINGS
sdks,org.apache.beam.sdk.coders,BigEndianIntegerCoderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TEST_CODER; TEST_VALUES; TEST_ENCODINGS; thrown
sdks,org.apache.beam.sdk.coders,BigEndianLongCoderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TEST_CODER; TEST_VALUES; TEST_ENCODINGS; thrown
sdks,org.apache.beam.sdk.coders,BigIntegerCoderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: thrown; TEST_CODER; TEST_VALUES; TEST_ENCODINGS
sdks,org.apache.beam.sdk.coders,BitSetCoderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TEST_CODER; TEST_VALUES; TEST_ENCODINGS; thrown
sdks,org.apache.beam.sdk.coders,ByteArrayCoderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TEST_CODER; TEST_VALUES; TEST_ENCODINGS; thrown
sdks,org.apache.beam.sdk.coders,ByteCoderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TEST_CODER; TEST_VALUES; TEST_ENCODINGS; thrown
sdks,org.apache.beam.sdk.coders,CoderRegistryTest,Feature Envy,The tool detected a instance of this smell because testSpecializedButIgnoredGenericInPipeline is more interested in members of the type: TestPipeline
sdks,org.apache.beam.sdk.coders,CoderRegistryTest,Feature Envy,The tool detected a instance of this smell because testIgnoredGenericInPipeline is more interested in members of the type: TestPipeline
sdks,org.apache.beam.sdk.coders,CoderRegistryTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: pipeline; thrown; expectedLogs; INSTANCE; TYPE_DESCRIPTOR; foo; INSTANCE; INSTANCE; INSTANCE
sdks,org.apache.beam.sdk.coders,CoderRegistryTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 48 public methods
sdks,org.apache.beam.sdk.coders,SerializableClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sdks,org.apache.beam.sdk.coders,SerializableClass,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sdks,org.apache.beam.sdk.coders,NotSerializableClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sdks,org.apache.beam.sdk.coders,NotSerializableClass,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sdks,org.apache.beam.sdk.coders,TooManyComponentCoders,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ListCoder
sdks,org.apache.beam.sdk.coders,TestGenericClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sdks,org.apache.beam.sdk.coders,TestSerializableGenericClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sdks,org.apache.beam.sdk.coders,OutputDoFn,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sdks,org.apache.beam.sdk.coders,MyGenericClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sdks,org.apache.beam.sdk.coders,MyValue,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sdks,org.apache.beam.sdk.coders,UnknownType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sdks,org.apache.beam.sdk.coders,MySerializableGeneric,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: foo
sdks,org.apache.beam.sdk.coders,AutoRegistrationClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sdks,org.apache.beam.sdk.coders,AutoRegistrationClassCoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CustomCoder
sdks,org.apache.beam.sdk.coders,RegisteredTestCoderProviderRegistrar,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
