@relation 'Efforts-5-Levels-Normal-Distribution'

@attribute Class-Count numeric
@attribute LOC numeric
@attribute Smells-Rank {'Very Low',Low,Medium,High,'Very High'}
@attribute Effort-Rank {'Very Low',Low,Medium,High,'Very High'}

@data
48,3117,Low,Very Low
31,1145,Very Low,Very Low
162,7200,Very Low,Very Low
417,26546,Very Low,Very Low
26,2393,Low,Low
150,6244,Very Low,Low
7,436,Low,Low
82,4004,Very Low,Low
152,8911,Very Low,Low
9,416,Low,Low
66,4139,Very Low,Low
7,126,Low,Low
15,892,Low,Low
12,593,Low,Low
30,1529,Low,Low
43,2230,Very Low,Very Low
8,578,Low,Very Low
8,629,Low,Low
33,1119,Very Low,Low
11,260,Low,Low
9,413,Low,Low
50,1856,Very Low,Low
15,259,Low,Low
6,287,Low,Low
31,1241,Very Low,Low
6,240,Very Low,Low
2,42,Low,Low
8,393,Medium,Low
4,178,Medium,Low
3,107,Medium,Low
8,184,Medium,Low
16,574,Medium,Low
6,35,Medium,Low
9,427,Medium,Low
82,3796,Medium,Low
13,634,Very Low,Low
6,317,Medium,Low
16,478,Medium,Low
12,458,Medium,Low
