@relation 'Efforts-5-Levels'

@attribute Class-Count numeric
@attribute LOC numeric
@attribute Smells-Rank {'Very Low',Low,Medium,High,'Very High'}
@attribute Effort-Rank {'Very Low',Low,Medium,High,'Very High'}

@data
84,3701,Medium,Very Low
6,258,Medium,Medium
32,1210,Very Low,Very Low
9,469,Very Low,Medium
20,1142,Very Low,Very Low
4,563,Medium,Medium
33,2142,Very Low,Medium
9,254,Medium,Medium
31,981,Medium,Medium
7,234,Very Low,Medium
142,8992,Medium,Medium
17,666,Medium,Medium
42,2984,Very Low,Medium
38,2070,Medium,Very Low
5,211,Medium,Medium
10,406,Medium,Very Low
14,412,Very Low,Medium
7,302,Medium,Medium
7,275,Medium,Medium
3,47,Medium,Medium
6,191,Medium,Medium
10,260,Medium,Medium
37,2396,Very Low,Medium
22,704,Medium,Medium
5,197,Medium,Medium
4,187,Medium,Medium
26,1560,Very Low,Medium
12,383,Very Low,Medium
41,1547,Very Low,High
31,1880,Very Low,High
16,998,Medium,High
7,356,Medium,High
2,30,Medium,High
12,1381,Medium,High
7,314,High,High
18,1223,High,High
9,202,High,High
4,655,High,High
5,264,High,High
5,443,High,High
8,577,High,High
21,1111,High,High
3,90,High,High
2,67,High,High
7,273,High,High
19,687,High,High
5,90,High,High
2,41,High,High
27,755,High,High
11,389,High,High
2,55,High,High
2,25,High,High
4,120,High,High
4,106,High,High
3,68,High,High
8,234,High,High
7,257,High,High
2,117,High,High
11,437,High,Very Low
7,169,High,High
27,1219,High,High
3,76,High,High
4,388,High,High
19,1093,High,High
15,1462,High,Very Low
13,562,High,High
27,1686,High,High
22,2058,High,Very Low
1,7,High,High
3,42,High,Very High
1,24,High,Very High
3,50,High,Very High
28,3205,Very High,Very High
1,8,Very High,Very High
2,230,Very High,Very Low
29,2613,Very High,Very High
26,1598,Very High,Very High
22,1373,Very High,Very High
13,1155,Very High,Very High
2,26,Very High,Very High
26,2206,Very High,Very High
12,842,Very High,Very High
14,615,Very High,Very Low
22,1495,Very High,Very High
10,859,Very High,Very Low
1,21,Very High,Very High
1,21,Very High,Very High
3,163,Very High,Very High
5,143,Very High,Very High
7,249,Very High,Very High
12,866,Very High,Very High
5,189,Very High,Very High
24,3077,Very High,Very High
2,116,Very High,Very High
9,333,Very High,Very High
11,978,Very High,Very High
2,148,Very High,Very High
6,621,Very High,Very High
1,5,Very High,Very High
16,665,Very High,Very High
4,157,Very High,Very High
9,427,Very High,Very High
1,27,Very High,Very High
29,2246,Very High,Very High
6,150,Very High,Very High
5,99,Very High,Very High
2,16,Very High,Very High
16,1028,Very High,Very High
3,67,Very High,Very High
3,327,Very High,Very High
188,7015,Very Low,Very Low
249,19769,Low,Very Low
15,348,Very Low,Very Low
31,1142,Very Low,Very Low
179,6542,Very Low,Very Low
26,1067,Low,Very Low
15,1364,Low,Very Low
35,2313,Very Low,Very Low
48,3117,Low,Very Low
31,1145,Very Low,Very Low
162,7200,Very Low,Very Low
417,26546,Very Low,Very Low
26,2393,Low,Very Low
150,6244,Very Low,Very Low
7,436,Low,Very Low
82,4004,Very Low,Very Low
152,8911,Very Low,Very Low
9,416,Low,Very Low
66,4139,Very Low,Very Low
7,126,Low,Very Low
15,892,Low,Very Low
12,593,Low,Very Low
30,1529,Low,Very Low
43,2230,Very Low,Very Low
8,578,Low,Very Low
8,629,Low,Very Low
33,1119,Very Low,Very Low
